# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 07:53:06 2025
#
# CONSTRAINT:  where (ml_modeldef like '1')
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag [Jupiter mass]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag [Earth mass]
# COLUMN pl_orbsmax:     Planet-star Projected Semi-major Axis [au]
# COLUMN pl_orbsmaxerr1: Planet-star Projected Semi-major Axis Upper Unc.
# COLUMN pl_orbsmaxerr2: Planet-star Projected Semi-major Axis Lower Unc.
# COLUMN pl_orbsmaxlim:  Planet-star Projected Semi-major Axis Limit Flag
# COLUMN st_mass:        Lens Mass [Solar mass]
# COLUMN st_masserr1:    Lens Mass Upper Unc.
# COLUMN st_masserr2:    Lens Mass Lower Unc.
# COLUMN st_masslim:     Lens Mass Limit Flag
# COLUMN sy_dist:        Lens Distance [pc]
# COLUMN sy_disterr1:    Lens Distance Upper Unc.
# COLUMN sy_disterr2:    Lens Distance Lower Unc.
# COLUMN sy_distlim:     Lens Distance Limit Flag
# COLUMN ml_dists:       Source Distance [pc]
# COLUMN ml_distserr1:   Source Distance Upper Unc.
# COLUMN ml_distserr2:   Source Distance Lower Unc.
# COLUMN ml_distslim:    Source Distance Limit Flag
# COLUMN ml_tsepmin:     Time of Lens-source Minimum Separation [days]
# COLUMN ml_tsepminerr1: Time of Lens-source Minimum Separation Upper Unc.
# COLUMN ml_tsepminerr2: Time of Lens-source Minimum Separation Lower Unc.
# COLUMN ml_tsepminlim:  Time of Lens-source Minimum Separation Limit Flag
# COLUMN ml_sepminnorm:  Normalized Lens-source Minimum Separation
# COLUMN ml_sepminnormerr1: Normalized Lens-source Minimum Separation Upper Unc.
# COLUMN ml_sepminnormerr2: Normalized Lens-source Minimum Separation Lower Unc.
# COLUMN ml_sepminnormlim: Normalized Lens-source Minimum Separation Limit Flag
# COLUMN ml_xtimeein:    Einstein Crossing Time [days]
# COLUMN ml_xtimeeinerr1: Einstein Crossing Time Upper Unc.
# COLUMN ml_xtimeeinerr2: Einstein Crossing Time Lower Unc.
# COLUMN ml_xtimeeinlim: Einstein Crossing Time Limit Flag
# COLUMN ml_radsnorm:    Normalized Source Angular Radius (10^-3)
# COLUMN ml_radsnormerr1: Normalized Angular Radius Upper Unc.
# COLUMN ml_radsnormerr2: Normalized Angular Radius Lower Unc.
# COLUMN ml_radsnormlim: Normalized Angular Radius Limit Flag
# COLUMN ml_sepinsnorp:  Instantaneous Planet-star Projected and Normalized Separation
# COLUMN ml_sepinsnorperr1: Instantaneous Planet-star Projected and Normalized Separation Upper Unc.
# COLUMN ml_sepinsnorperr2: Instantaneous Planet-star Projected and Normalized Separation Lower Unc.
# COLUMN ml_sepinsnorplim: Instantaneous Planet-star Projected and Normalized Separation Limit Flag
# COLUMN ml_massratio:   Planet-star Mass Ratio (10^-4)
# COLUMN ml_massratioerr1: Planet-star Mass Ratio Upper Unc.
# COLUMN ml_massratioerr2: Planet-star Mass Ratio Lower Unc.
# COLUMN ml_massratiolim: Planet-star Mass Ratio Limit Flag
# COLUMN ml_angstlax:    Source Trajectory-lens Axis Angle [rad]
# COLUMN ml_angstlaxerr1: Source Trajectory-lens Axis Angle Upper Unc.
# COLUMN ml_angstlaxerr2: Source Trajectory-lens Axis Angle Lower Unc.
# COLUMN ml_angstlaxlim: Source Trajectory-lens Axis Angle Limit Flag
# COLUMN ml_magis:       Source I-band [mag]
# COLUMN ml_magiserr1:   Source I-band Upper Unc.
# COLUMN ml_magiserr2:   Source I-band Lower Unc.
# COLUMN ml_magislim:    Source I-band Limit Flag
# COLUMN ml_magibl:      Blend I-band [mag]
# COLUMN ml_magiblerr1:  Blend I-band Upper Unc.
# COLUMN ml_magiblerr2:  Blend I-band Lower Unc.
# COLUMN ml_magibllim:   Blend I-band Limit Flag
# COLUMN ml_radeinang:   Angular Einstein Radius [mas]
# COLUMN ml_radeinangerr1: Angular Einstein Radius Upper Unc.
# COLUMN ml_radeinangerr2: Angular Einstein Radius Lower Unc.
# COLUMN ml_radeinanglim: Angular Einstein Radius Limit Flag
# COLUMN ml_pmrells:     Lens-source Relative Proper Motion [mas/yr]
# COLUMN ml_pmrellserr1: Lens-source Relative Proper Motion Upper Unc.
# COLUMN ml_pmrellserr2: Lens-source Relative Proper Motion Lower Unc.
# COLUMN ml_pmrellslim:  Lens-source Relative Proper Motion Limit Flag
# COLUMN ml_modeldef:    Default Model
# COLUMN htmllink:       Reference
#
pl_name,rastr,ra,decstr,dec,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef,htmllink
KMT-2022-BLG-1790L b,18h04m13.50s,271.056250,-27d02m05.10s,-27.034750,1.73000000,0.95000000,-0.89000000,0,549.84314411,301.93698665,-282.86728223,0,5.25000000,0.75000000,-1.04000000,0,0.58000000,0.32000000,-0.30000000,0,6480.00000000,920.00000000,-1280.00000000,0,,,,,2459811.30000000,0.02800000,-0.02800000,0,0.00135900,0.00006400,-0.00006400,0,34.51000000,1.27000000,-1.27000000,0,1.38000000,0.12000000,-0.12000000,0,0.97550000,0.00700000,-0.00700000,0,28.44000000,1.40000000,-1.40000000,0,4.01160000,0.00710000,-0.00710000,0,19.20600000,0.02300000,-0.02300000,0,,,,,0.39600000,0.06900000,-0.06900000,0,4.18600000,0.74400000,-0.74400000,0,1,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>
KMT-2017-BLG-2197L b,17h30m26.72s,262.611333,-30d09m33.52s,-30.159311,8.84000000,8.29000000,-4.91000000,0,2809.60311788,2634.79749403,-1560.53747837,0,15.91000000,2.08000000,-2.68000000,0,0.36000000,0.34000000,-0.20000000,0,7800.00000000,1020.00000000,-1310.00000000,0,,,,,2457857.17700000,0.05300000,-0.05300000,0,0.06060000,0.00770000,-0.00770000,0,42.40000000,4.57000000,-4.57000000,0,2.52000000,0.35000000,-0.35000000,0,1.54000000,0.04100000,-0.04100000,0,236.00000000,35.00000000,-35.00000000,0,4.94700000,0.02100000,-0.02100000,0,18.72100000,0.01000000,-0.01000000,0,,,,,0.23700000,0.04100000,-0.04100000,0,2.04500000,0.41500000,-0.41500000,0,1,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>
KMT-2022-BLG-2076L b,17h52m12.27s,268.051125,-29d01m40.55s,-29.027931,0.88000000,0.46000000,-0.45000000,0,279.68899816,146.20106722,-143.02278315,0,5.67000000,1.28000000,-1.58000000,0,0.67000000,0.35000000,-0.35000000,0,5570.00000000,1250.00000000,-1550.00000000,0,,,,,2459824.86300000,0.01200000,-0.01200000,0,0.00014600,0.00001400,-0.00001400,0,35.28000000,3.14000000,-3.14000000,0,0.80800000,0.08300000,-0.08300000,0,1.14230000,0.00780000,-0.00780000,0,12.50000000,1.40000000,-1.40000000,0,5.44800000,0.02200000,-0.02200000,0,20.11600000,0.10300000,-0.10300000,0,,,,,0.62700000,0.19800000,-0.19800000,0,6.49400000,2.12600000,-2.12600000,0,1,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>
KMT-2023-BLG-2209L b,17h55m58.61s,268.994208,-29d18m20.41s,-29.305669,0.80000000,0.38000000,-0.38000000,0,254.26272560,120.77479466,-120.77479466,0,3.51000000,0.95000000,-1.12000000,0,0.73000000,0.35000000,-0.35000000,0,5570.00000000,1510.00000000,-1770.00000000,0,,,,,2460204.54100000,0.02500000,-0.02500000,0,0.00055700,0.00003500,-0.00003500,0,45.67000000,2.45000000,-2.45000000,0,0.82000000,0.15000000,-0.15000000,0,1.00440000,0.00310000,-0.00310000,0,10.46000000,0.68000000,-0.68000000,0,2.50170000,0.00750000,-0.00750000,0,20.21800000,0.09700000,-0.09700000,0,,,,,0.72000000,0.23500000,-0.23500000,0,5.60200000,1.87600000,-1.87600000,0,1,<a refstr=HAN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..288H/abstract target=ref>Han et al. 2025</a>
OGLE-2008-BLG-092L b,17h47m29.42s,267.540708,-34d43m35.6s,-34.673194,0.18000000,,,0,57.00000000,,,0,15.00000000,,,0,0.71000000,,,0,8100.00000000,,,0,9700.00000000,,,0,2454727.37400000,0.04700000,-0.04700000,0,1.54500000,0.04300000,-0.04300000,0,38.64000000,0.88000000,-0.88000000,0,41.40000000,2.50000000,-2.50000000,0,5.26000000,0.11000000,-0.11000000,0,2.41000000,0.45000000,-0.45000000,0,0.31400000,0.00500000,-0.00500000,0,13.90000000,,,0,,,,,0.34400000,0.02000000,-0.02000000,0,3.25000000,0.22000000,-0.22000000,0,1,<a refstr=POLESKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...42P/abstract target=ref>Poleski et al. 2014</a>
OGLE-2018-BLG-0596L b,17h56m13.33s,269.055542,-29d11m56.7s,-29.199083,0.04383000,0.00491000,-0.00491000,0,13.93000000,1.56000000,-1.56000000,0,0.97000000,0.13000000,-0.13000000,0,0.23100000,0.02800000,-0.02800000,0,5650.00000000,750.00000000,-750.00000000,0,8580.00000000,1420.00000000,-1420.00000000,0,2458277.14000000,0.01500000,-0.01500000,0,0.28400000,0.00600000,-0.00600000,0,29.00300000,0.11000000,-0.11000000,0,13.47000000,0.49000000,-0.49000000,0,0.51200000,0.01700000,-0.01700000,0,1.82700000,0.13200000,-0.13200000,0,6.02200000,0.01100000,-0.01100000,0,17.19000000,0.01000000,-0.01000000,0,,,,,0.33600000,0.03400000,-0.03400000,0,4.22000000,0.42000000,-0.42000000,0,1,<a refstr=JUNG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...28J/abstract target=ref>Jung et al. 2019</a>
OGLE-2016-BLG-1227L b,17h42m23.31s,265.597125,-33d45m35.2s,-33.759778,0.79000000,1.30000000,-0.39000000,0,250.00000000,413.00000000,-120.00000000,0,3.40000000,2.10000000,-1.00000000,0,0.10000000,0.17000000,-0.05000000,0,,,,,,,,,2457561.99900000,0.03100000,-0.03100000,0,0.06600000,0.01200000,-0.01200000,0,45.37000000,8.07000000,-8.07000000,0,92.00000000,17.00000000,-17.00000000,0,3.68000000,0.21000000,-0.21000000,0,80.33400000,48.38300000,-21.94700000,0,4.78300000,0.06200000,-0.06200000,0,16.85000000,0.01000000,-0.01000000,0,,,,,0.09800000,0.04400000,-0.04400000,0,0.79000000,0.10000000,-0.10000000,0,1,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...91H/abstract target=ref>Han et al. 2020</a>
KMT-2018-BLG-0748L b,17h51m29.88s,267.874500,-30d38m47.00s,-30.646389,0.19000000,0.28000000,-0.10000000,0,60.00000000,89.00000000,-32.00000000,0,0.62000000,0.09000000,-0.09000000,0,0.08700000,0.13200000,-0.04700000,0,7300.00000000,1100.00000000,-1100.00000000,0,,,,,2458371.90100000,0.00400000,-0.00400000,0,0.03400000,0.00200000,-0.00200000,0,4.38000000,0.15000000,-0.15000000,0,10.89000000,0.97000000,-0.97000000,0,0.93900000,0.00300000,-0.00300000,0,20.30000000,1.50000000,-1.50000000,0,-0.02300000,0.00800000,-0.00800000,0,19.21000000,0.03000000,-0.03000000,0,,,,,0.11100000,0.01000000,-0.01000000,0,9.24000000,0.80000000,-0.80000000,0,1,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A.105H/abstract target=ref>Han et al. 2020</a>
OGLE-2014-BLG-0319L b,17h47m50.68s,266.961167,-33d56m06.16s,-33.935044,0.57000000,0.36000000,-0.31000000,0,181.16219199,114.41822652,-98.52680617,0,3.49000000,1.17000000,-1.12000000,0,0.52000000,0.33000000,-0.29000000,0,7730.00000000,1140.00000000,-2840.00000000,0,10300.00000000,3350.00000000,-680.00000000,0,2456787.96300000,0.02500000,-0.02500000,0,0.17400000,0.00300000,-0.00300000,0,34.46000000,0.46000000,-0.47000000,0,27.00000000,,,1,1.21300000,0.00500000,-0.00600000,0,10.34000000,1.31000000,-1.11000000,0,2.83400000,0.00300000,-0.00300000,0,17.82900000,0.00400000,-0.00400000,0,,,,,0.41000000,0.22000000,-0.15000000,0,4.38000000,2.32000000,-1.62000000,0,1,<a refstr=MIYAZAKI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..123M/abstract target=ref>Miyazaki et al. 2022</a>
KMT-2021-BLG-0748L b,18h09m41.12s,272.421333,-25d44m47.69s,-25.746581,0.45000000,0.40000000,-0.25000000,0,143.02278315,127.13136280,-79.45710175,0,2.43000000,0.67000000,-0.67000000,0,0.36000000,0.32000000,-0.20000000,0,6090.00000000,920.00000000,-1310.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=RYU_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..180R/abstract target=ref>Ryu et al. 2022</a>
